name,brand,type,gender,age,budget,category,use_time,skin_types,skin_concerns,texture,fragrance_free,alcohol_free,ingredients,price,purchase_link,image_url,instructions
Barrier Balance Crema da notte,Lavera,barrierCream,unisex,young;mature,midRange,special,night,sensitive;dry;normal,redness;dehydration,cream,FALSE,FALSE,prebiotics:Microbiome Support;green_tea:Antioxidant;shea_butter:Moisturizing,17.49,https://www.lavera.it/barrier-balance-crema-da-notte,,Use at night to strengthen skin barrier.
Barrier Balance Crema da giorno,Lavera,barrierCream,unisex,young;mature,midRange,special,morning,sensitive;dry;normal,redness;dehydration,cream,FALSE,FALSE,prebiotics:Microbiome Support;green_tea:Antioxidant;shea_butter:Moisturizing,16.19,https://www.lavera.it/barrier-balance-crema-da-giorno,,Apply daily for barrier support.
Hydro Refresh Acqua Micellare,Lavera,micellarWater,unisex,young,midRange,core,morning;night,normal;combination;dry,dehydration,lotion,FALSE,FALSE,hyaluronic_acid:Hydration;aloe_vera:Soothing,10.99,https://www.lavera.it/hydro-refresh-acqua-micellare,,Use micellar water with cotton pad to remove makeup.
Glow by Nature Fluido Anti-UV SPF 50,Lavera,sunscreen,unisex,young;mature,midRange,core,morning,oily;combination;dry;normal;sensitive;mature,sun_damage,lotion,FALSE,FALSE,zinc_oxide_or_filters:Sun Protection,16.29,https://www.lavera.it/glow-by-nature-fluido-anti-uv-spf-50,,Apply SPF 50 fluid before sun exposure.
Barrier Balance Siero,Lavera,serum,unisex,young;mature,midRange,special,morning;night,sensitive;dry;normal,redness;dehydration,gel,FALSE,FALSE,prebiotics:Microbiome Support;green_tea:Antioxidant;shea_butter:Moisturizing,17.49,https://www.lavera.it/barrier-balance-siero,,Use barrier repair serum before moisturizer.
Barrier Balance Crema contorno occhi,Lavera,eyeCream,unisex,young;mature,midRange,special,morning;night,sensitive;dry;normal,puffiness;redness,cream,FALSE,FALSE,prebiotics:Microbiome Support;green_tea:Antioxidant;shea_butter:Moisturizing,17.49,https://www.lavera.it/barrier-balance-crema-contorno-occhi,,Apply around eyes for barrier care.
basis sensitive Crema contorno occhi antirughe,Lavera,eyeCream,unisex,young;mature,midRange,special,morning;night,sensitive;dry;normal,fine_lines;dehydration,cream,FALSE,FALSE,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,12.19,https://www.lavera.it/basis-sensitive-crema-contorno-occhi-antirughe,,Pat anti-wrinkle eye cream around eyes.
basis sensitive Gel detergente,Lavera,cleanser,unisex,young,midRange,core,morning;night,sensitive;dry;normal,oiliness,gel,FALSE,FALSE,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,5.99,https://www.lavera.it/basis-sensitive-gel-detergente,,Use cleansing gel for daily face wash.
Pure Beauty Liquid Refiner,Lavera,poreMinimizer,unisex,young,midRange,treatment,morning;night,combination;oily,pores;oiliness,lotion,FALSE,FALSE,mint:Refreshing;salicylic_acid:Exfoliating,11.29,https://www.lavera.it/pure-beauty-liquid-refiner,,Apply liquid refiner to refine pores.
Pure Beauty 3in1 Detergente Peeling,Lavera,exfoliant,unisex,young,midRange,treatment,morning;night,combination;oily,acne;oiliness,cream,FALSE,FALSE,mint:Refreshing;salicylic_acid:Exfoliating,7.49,https://www.lavera.it/pure-beauty-3in1-detergente-peeling,,Use 3-in-1 cleanser and exfoliant.
Pure Beauty Siero,Lavera,serum,unisex,young,midRange,treatment,morning;night,combination;oily,acne;oiliness,fluid,FALSE,FALSE,mint:Refreshing;salicylic_acid:Exfoliating,12.49,https://www.lavera.it/pure-beauty-siero-4021457661091,,Apply serum to help control blemishes.
basis sensitive Schiuma detergente,Lavera,cleanser,unisex,young,midRange,core,morning;night,sensitive;dry;normal,sensitivity,foam,FALSE,TRUE,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,7.19,https://www.lavera.it/basis-sensitive-schiuma-detergente-4021457663941,,"Shake before use. Gently massage the cleansing foam into a damp face, neck, and décolleté, and rinse with warm water."
Glow by Nature Crema 3in1 Vitamina C,Lavera,vitaminC,unisex,young;mature,midRange,treatment,morning;night,normal;dry;combination,dullness,cream,FALSE,FALSE,vitamin_c:Brightening,17.89,https://www.lavera.it/glow-by-nature-crema-3in1-vitamina-c,,Apply triple-action vitamin C cream for glow.
Pure Beauty Spot Treatment,Lavera,spotTreatment,unisex,young,midRange,treatment,night,combination;oily,acne,cream,FALSE,FALSE,mint:Refreshing;salicylic_acid:Exfoliating,7.49,https://www.lavera.it/pure-beauty-spot-treatment,,Apply directly to blemishes as needed.
basis sensitive Latte detergente,Lavera,cleanser,unisex,young,midRange,core,morning;night,sensitive;dry;normal,dehydration,cream,FALSE,FALSE,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,6.59,https://www.lavera.it/basis-sensitive-latte-detergente-4021457663934,,"Apply morning and evening to the face, neck, and décolleté and rinse with warm water. Remove makeup from eyelids and lashes by pouring a small amount of cleansing milk onto a cotton pad."
basis sensitive Crema notte lenitiva,Lavera,soothingCream,unisex,young;mature,midRange,special,night,sensitive;dry;normal,dehydration;dryness,cream,FALSE,FALSE,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,13.1,https://www.lavera.it/basis-sensitiv-crema-notte-idratante-lenitiva-4021457652495,,Apply soothing night cream at bedtime.
